Date,Team,Opponent,Team Score,Opponent Score,Location,Team Margin,Team Result,Team Location
11/9/2012,Middle Tenn St,Alabama St,97,53,Middle Tenn St,44,Win,Home
11/9/2012,Cleveland St,Grambling,92,49,Cleveland St,43,Win,Home
11/9/2012,Indiana,Bryant,97,54,Indiana,43,Win,Home
11/9/2012,Xavier,F Dickinson,117,75,Xavier,42,Win,Home
11/9/2012,Richmond,Liberty,84,42,Richmond,42,Win,Home
11/9/2012,Seton Hall,Missouri KC,75,36,Seton Hall,39,Win,Home
11/9/2012,NC State,Miami OH,97,59,NC State,38,Win,Home
11/9/2012,Gonzaga,Southern Utah,103,65,Gonzaga,38,Win,Home
11/9/2012,Minnesota,American Univ,72,36,Minnesota,36,Win,Home
11/9/2012,Mississippi,MS Valley St,93,57,Mississippi,36,Win,Home
11/9/2012,Marshall,Longwood,81,47,Marshall,34,Win,Home
11/9/2012,Kansas St,North Dakota,85,52,Kansas St,33,Win,Home
11/9/2012,Pittsburgh,Mt St Mary's,80,48,Pittsburgh,32,Win,Home
11/9/2012,DePaul,UC Riverside,91,59,DePaul,32,Win,Home
11/9/2012,Valparaiso,Ga Southern,85,54,Valparaiso,31,Win,Home
11/9/2012,Iowa,TX Pan American,86,55,Iowa,31,Win,Home
11/9/2012,Belmont,Lipscomb,89,60,Lipscomb,29,Win,Away
11/9/2012,Monmouth NJ,Hofstra,91,62,Monmouth NJ,29,Win,Home
11/9/2012,UCLA,Indiana St,86,59,UCLA,27,Win,Home
11/9/2012,Loyola MD,Binghamton,71,45,Loyola MD,26,Win,Home
11/9/2012,Rider,Robert Morris,79,54,Rider,25,Win,Home
11/9/2012,Iowa St,Southern Univ,82,59,Iowa St,23,Win,Home
11/9/2012,VA Commonwealth,FL Gulf Coast,80,57,VA Commonwealth,23,Win,Home
11/9/2012,Bradley,E Illinois,76,53,Bradley,23,Win,Home
11/9/2012,Baylor,Lehigh,99,77,Baylor,22,Win,Home
11/9/2012,UTEP,Oral Roberts,69,49,UTEP,20,Win,Home
11/9/2012,Illinois,Colgate,75,55,Illinois,20,Win,Home
11/9/2012,Creighton,North Texas,71,51,Creighton,20,Win,Home
11/9/2012,Duke,Georgia St,74,55,Duke,19,Win,Home
11/9/2012,Kansas,SE Missouri St,74,55,Kansas,19,Win,Home
11/9/2012,Oregon St,Niagara,102,83,Oregon St,19,Win,Home
11/9/2012,Georgia Tech,Tulane,79,61,Georgia Tech,18,Win,Home
11/9/2012,William & Mary,Hampton,69,51,William & Mary,18,Win,Home
11/9/2012,North Carolina,Gardner Webb,76,59,North Carolina,17,Win,Home
11/9/2012,Col Charleston,Towson,75,58,Col Charleston,17,Win,Home
11/9/2012,St Louis,SC Upstate,76,59,St Louis,17,Win,Home
11/9/2012,Ark Little Rock,TN Martin,84,68,Ark Little Rock,16,Win,Home
11/9/2012,Colorado,Wofford,74,59,Colorado,15,Win,Home
11/9/2012,BYU,Tennessee St,81,66,BYU,15,Win,Home
11/9/2012,LSU,Santa Barbara,77,63,LSU,14,Win,Home
11/9/2012,USC,Coppin St,87,73,USC,14,Win,Home
11/9/2012,IUPUI,Utah Valley,67,54,IUPUI,13,Win,Home
11/9/2012,NE Omaha,N Illinois,77,64,NE Omaha,13,Win,Home
11/9/2012,Morgan St,UT San Antonio,71,59,Neutral,12,Win,Neutral
11/9/2012,Wake Forest,Radford,79,67,Wake Forest,12,Win,Home
11/9/2012,Norfolk St,Rhode Island,67,55,Rhode Island,12,Win,Away
11/9/2012,Texas A&M,Louisiana Tech,71,59,Texas A&M,12,Win,Home
11/9/2012,Loyola-Chicago,Toledo,62,50,Loyola-Chicago,12,Win,Home
11/9/2012,Stanford,San Francisco,74,62,Neutral,12,Win,Neutral
11/9/2012,Hawaii,MD E Shore,76,64,Hawaii,12,Win,Home
11/9/2012,Austin Peay,Samford,75,64,Austin Peay,11,Win,Home
11/9/2012,Auburn,IPFW,61,50,Auburn,11,Win,Home
11/9/2012,St Francis NY,Lafayette,76,65,Lafayette,11,Win,Away
11/9/2012,Charlotte,Charleston So,68,58,Charlotte,10,Win,Home
11/9/2012,UNC Asheville,W Carolina,71,61,UNC Asheville,10,Win,Home
11/9/2012,St Bonaventure,Bethune-Cookman,65,55,St Bonaventure,10,Win,Home
11/9/2012,Texas St,Fordham,86,76,Texas St,10,Win,Home
11/9/2012,Texas Tech,Prairie View,89,79,Texas Tech,10,Win,Home
11/9/2012,Wright St,Idaho,80,70,Idaho,10,Win,Away
11/9/2012,Tennessee,Kennesaw,76,67,Tennessee,9,Win,Home
11/9/2012,Miami FL,Stetson,87,79,Miami FL,8,Win,Home
11/9/2012,High Point,UNC Greensboro,81,73,High Point,8,Win,Home
11/9/2012,Oklahoma St,UC Davis,73,65,Oklahoma St,8,Win,Home
11/9/2012,Penn St,St Francis PA,65,58,Penn St,7,Win,Home
11/9/2012,TCU,Cal Poly SLO,53,46,TCU,7,Win,Home
11/9/2012,Iona,Denver,65,58,Iona,7,Win,Home
11/9/2012,Colorado St,Montana,72,65,Colorado St,7,Win,Home
11/9/2012,Georgia,Jacksonville,68,62,Georgia,6,Win,Home
11/9/2012,CS Northridge,Pepperdine,81,75,CS Northridge,6,Win,Home
11/9/2012,Houston,Florida A&M,81,76,Houston,5,Win,Home
11/9/2012,South Alabama,Florida St,76,71,Florida St,5,Win,Away
11/9/2012,Bucknell,Purdue,70,65,Purdue,5,Win,Away
11/9/2012,Penn,MD Baltimore Co,80,75,Penn,5,Win,Home
11/9/2012,Arkansas,Sam Houston St,73,68,Arkansas,5,Win,Home
11/9/2012,George Mason,Virginia,63,59,George Mason,4,Win,Home
11/9/2012,Connecticut,Michigan St,66,62,Neutral,4,Win,Neutral
11/9/2012,Kent,Drexel,66,62,Kent,4,Win,Home
11/9/2012,Coastal Car,Akron,74,70,Coastal Car,4,Win,Home
11/9/2012,St Peter's,Rutgers,56,52,Rutgers,4,Win,Away
11/9/2012,New Orleans,San Jose St,72,68,New Orleans,4,Win,Home
11/9/2012,Houston Bap,Ark Pine Bluff,72,68,Neutral,4,Win,Neutral
11/9/2012,Morehead St,Long Island,77,74,Long Island,3,Win,Away
11/9/2012,Albany NY,Duquesne,69,66,Albany NY,3,Win,Home
11/9/2012,Troy,Mississippi St,56,53,Troy,3,Win,Home
11/9/2012,Kentucky,Maryland,72,69,Neutral,3,Win,Neutral
11/9/2012,Alabama,S Dakota St,70,67,Alabama,3,Win,Home
11/9/2012,Stony Brook,Marist,60,57,Marist,3,Win,Away
11/9/2012,Texas,Fresno St,55,53,Texas,2,Win,Home
11/9/2012,UT Arlington,CS Bakersfield,62,60,CS Bakersfield,2,Win,Away
11/9/2012,Northeastern,Boston Univ,65,64,Northeastern,1,Win,Home
11/9/2012,Vermont,Siena,54,53,Siena,1,Win,Away
11/9/2012,Holy Cross,Old Dominion,46,45,Old Dominion,1,Win,Away
11/9/2012,Boston Univ,Northeastern,64,65,Northeastern,-1,Loss,Away
11/9/2012,Siena,Vermont,53,54,Siena,-1,Loss,Home
11/9/2012,Old Dominion,Holy Cross,45,46,Old Dominion,-1,Loss,Home
11/9/2012,Fresno St,Texas,53,55,Texas,-2,Loss,Away
11/9/2012,CS Bakersfield,UT Arlington,60,62,CS Bakersfield,-2,Loss,Home
11/9/2012,Long Island,Morehead St,74,77,Long Island,-3,Loss,Home
11/9/2012,Duquesne,Albany NY,66,69,Albany NY,-3,Loss,Away
11/9/2012,Mississippi St,Troy,53,56,Troy,-3,Loss,Away
11/9/2012,Maryland,Kentucky,69,72,Neutral,-3,Loss,Neutral
11/9/2012,S Dakota St,Alabama,67,70,Alabama,-3,Loss,Away
11/9/2012,Marist,Stony Brook,57,60,Marist,-3,Loss,Home
11/9/2012,Virginia,George Mason,59,63,George Mason,-4,Loss,Away
11/9/2012,Michigan St,Connecticut,62,66,Neutral,-4,Loss,Neutral
11/9/2012,Drexel,Kent,62,66,Kent,-4,Loss,Away
11/9/2012,Akron,Coastal Car,70,74,Coastal Car,-4,Loss,Away
11/9/2012,Rutgers,St Peter's,52,56,Rutgers,-4,Loss,Home
11/9/2012,San Jose St,New Orleans,68,72,New Orleans,-4,Loss,Away
11/9/2012,Ark Pine Bluff,Houston Bap,68,72,Neutral,-4,Loss,Neutral
11/9/2012,Florida A&M,Houston,76,81,Houston,-5,Loss,Away
11/9/2012,Florida St,South Alabama,71,76,Florida St,-5,Loss,Home
11/9/2012,Purdue,Bucknell,65,70,Purdue,-5,Loss,Home
11/9/2012,MD Baltimore Co,Penn,75,80,Penn,-5,Loss,Away
11/9/2012,Sam Houston St,Arkansas,68,73,Arkansas,-5,Loss,Away
11/9/2012,Jacksonville,Georgia,62,68,Georgia,-6,Loss,Away
11/9/2012,Pepperdine,CS Northridge,75,81,CS Northridge,-6,Loss,Away
11/9/2012,St Francis PA,Penn St,58,65,Penn St,-7,Loss,Away
11/9/2012,Cal Poly SLO,TCU,46,53,TCU,-7,Loss,Away
11/9/2012,Denver,Iona,58,65,Iona,-7,Loss,Away
11/9/2012,Montana,Colorado St,65,72,Colorado St,-7,Loss,Away
11/9/2012,Stetson,Miami FL,79,87,Miami FL,-8,Loss,Away
11/9/2012,UNC Greensboro,High Point,73,81,High Point,-8,Loss,Away
11/9/2012,UC Davis,Oklahoma St,65,73,Oklahoma St,-8,Loss,Away
11/9/2012,Kennesaw,Tennessee,67,76,Tennessee,-9,Loss,Away
11/9/2012,Charleston So,Charlotte,58,68,Charlotte,-10,Loss,Away
11/9/2012,W Carolina,UNC Asheville,61,71,UNC Asheville,-10,Loss,Away
11/9/2012,Bethune-Cookman,St Bonaventure,55,65,St Bonaventure,-10,Loss,Away
11/9/2012,Fordham,Texas St,76,86,Texas St,-10,Loss,Away
11/9/2012,Prairie View,Texas Tech,79,89,Texas Tech,-10,Loss,Away
11/9/2012,Idaho,Wright St,70,80,Idaho,-10,Loss,Home
11/9/2012,Samford,Austin Peay,64,75,Austin Peay,-11,Loss,Away
11/9/2012,IPFW,Auburn,50,61,Auburn,-11,Loss,Away
11/9/2012,Lafayette,St Francis NY,65,76,Lafayette,-11,Loss,Home
11/9/2012,UT San Antonio,Morgan St,59,71,Neutral,-12,Loss,Neutral
11/9/2012,Radford,Wake Forest,67,79,Wake Forest,-12,Loss,Away
11/9/2012,Rhode Island,Norfolk St,55,67,Rhode Island,-12,Loss,Home
11/9/2012,Louisiana Tech,Texas A&M,59,71,Texas A&M,-12,Loss,Away
11/9/2012,Toledo,Loyola-Chicago,50,62,Loyola-Chicago,-12,Loss,Away
11/9/2012,San Francisco,Stanford,62,74,Neutral,-12,Loss,Neutral
11/9/2012,MD E Shore,Hawaii,64,76,Hawaii,-12,Loss,Away
11/9/2012,Utah Valley,IUPUI,54,67,IUPUI,-13,Loss,Away
11/9/2012,N Illinois,NE Omaha,64,77,NE Omaha,-13,Loss,Away
11/9/2012,Santa Barbara,LSU,63,77,LSU,-14,Loss,Away
11/9/2012,Coppin St,USC,73,87,USC,-14,Loss,Away
11/9/2012,Wofford,Colorado,59,74,Colorado,-15,Loss,Away
11/9/2012,Tennessee St,BYU,66,81,BYU,-15,Loss,Away
11/9/2012,TN Martin,Ark Little Rock,68,84,Ark Little Rock,-16,Loss,Away
11/9/2012,Gardner Webb,North Carolina,59,76,North Carolina,-17,Loss,Away
11/9/2012,Towson,Col Charleston,58,75,Col Charleston,-17,Loss,Away
11/9/2012,SC Upstate,St Louis,59,76,St Louis,-17,Loss,Away
11/9/2012,Tulane,Georgia Tech,61,79,Georgia Tech,-18,Loss,Away
11/9/2012,Hampton,William & Mary,51,69,William & Mary,-18,Loss,Away
11/9/2012,Georgia St,Duke,55,74,Duke,-19,Loss,Away
11/9/2012,SE Missouri St,Kansas,55,74,Kansas,-19,Loss,Away
11/9/2012,Niagara,Oregon St,83,102,Oregon St,-19,Loss,Away
11/9/2012,Oral Roberts,UTEP,49,69,UTEP,-20,Loss,Away
11/9/2012,Colgate,Illinois,55,75,Illinois,-20,Loss,Away
11/9/2012,North Texas,Creighton,51,71,Creighton,-20,Loss,Away
11/9/2012,Lehigh,Baylor,77,99,Baylor,-22,Loss,Away
11/9/2012,Southern Univ,Iowa St,59,82,Iowa St,-23,Loss,Away
11/9/2012,FL Gulf Coast,VA Commonwealth,57,80,VA Commonwealth,-23,Loss,Away
11/9/2012,E Illinois,Bradley,53,76,Bradley,-23,Loss,Away
11/9/2012,Robert Morris,Rider,54,79,Rider,-25,Loss,Away
11/9/2012,Binghamton,Loyola MD,45,71,Loyola MD,-26,Loss,Away
11/9/2012,Indiana St,UCLA,59,86,UCLA,-27,Loss,Away
11/9/2012,Lipscomb,Belmont,60,89,Lipscomb,-29,Loss,Home
11/9/2012,Hofstra,Monmouth NJ,62,91,Monmouth NJ,-29,Loss,Away
11/9/2012,Ga Southern,Valparaiso,54,85,Valparaiso,-31,Loss,Away
11/9/2012,TX Pan American,Iowa,55,86,Iowa,-31,Loss,Away
11/9/2012,Mt St Mary's,Pittsburgh,48,80,Pittsburgh,-32,Loss,Away
11/9/2012,UC Riverside,DePaul,59,91,DePaul,-32,Loss,Away
11/9/2012,North Dakota,Kansas St,52,85,Kansas St,-33,Loss,Away
11/9/2012,Longwood,Marshall,47,81,Marshall,-34,Loss,Away
11/9/2012,American Univ,Minnesota,36,72,Minnesota,-36,Loss,Away
11/9/2012,MS Valley St,Mississippi,57,93,Mississippi,-36,Loss,Away
11/9/2012,Miami OH,NC State,59,97,NC State,-38,Loss,Away
11/9/2012,Southern Utah,Gonzaga,65,103,Gonzaga,-38,Loss,Away
11/9/2012,Missouri KC,Seton Hall,36,75,Seton Hall,-39,Loss,Away
11/9/2012,F Dickinson,Xavier,75,117,Xavier,-42,Loss,Away
11/9/2012,Liberty,Richmond,42,84,Richmond,-42,Loss,Away
11/9/2012,Grambling,Cleveland St,49,92,Cleveland St,-43,Loss,Away
11/9/2012,Bryant,Indiana,54,97,Indiana,-43,Loss,Away
11/9/2012,Alabama St,Middle Tenn St,53,97,Middle Tenn St,-44,Loss,Away
11/10/2012,Ohio,Portland,81,52,Ohio,29,Win,Home
11/10/2012,Columbia,Furman,68,47,Furman,21,Win,Away
11/10/2012,Washington St,E Washington,88,69,Washington St,19,Win,Home
11/10/2012,UCF,South Florida,74,56,South Florida,18,Win,Away
11/10/2012,Virginia Tech,ETSU,80,62,Virginia Tech,18,Win,Home
11/10/2012,Vanderbilt,Nicholls St,80,65,Vanderbilt,15,Win,Home
11/10/2012,Butler,Elon,74,59,Butler,15,Win,Home
11/10/2012,Arizona St,Cent Arkansas,79,64,Arizona St,15,Win,Home
11/10/2012,Missouri,Edwardsville,83,69,Missouri,14,Win,Home
11/10/2012,Wichita St,NC Central,71,57,Wichita St,14,Win,Home
11/10/2012,UC Irvine,Nevada,78,64,UC Irvine,14,Win,Home
11/10/2012,Dayton,Arkansas St,74,61,Dayton,13,Win,Home
11/10/2012,Dartmouth,Maine,67,54,Dartmouth,13,Win,Home
11/10/2012,Air Force,Army,76,65,Neutral,11,Win,Neutral
11/10/2012,Old Dominion,Morgan St,72,61,Old Dominion,11,Win,Home
11/10/2012,Oregon,Northern Arizona,83,73,Oregon,10,Win,Home
11/10/2012,Notre Dame,Evansville,58,49,Notre Dame,9,Win,Home
11/10/2012,Cornell,W Michigan,63,55,Cornell,8,Win,Home
11/10/2012,Citadel,VMI,84,76,Citadel,8,Win,Home
11/10/2012,Utah St,Idaho St,56,48,Utah St,8,Win,Home
11/10/2012,La Salle,Delaware,73,66,La Salle,7,Win,Home
11/10/2012,Youngstown St,G Washington,80,73,G Washington,7,Win,Away
11/10/2012,WI Green Bay,Chicago St,72,67,WI Green Bay,5,Win,Home
11/10/2012,Princeton,Buffalo,57,53,Buffalo,4,Win,Away
11/10/2012,UT San Antonio,Holy Cross,60,56,Neutral,4,Win,Neutral
11/10/2012,Quinnipiac,Hartford,65,61,Hartford,4,Win,Away
11/10/2012,Southern Miss,W Kentucky,67,64,Southern Miss,3,Win,Home
11/10/2012,Sacred Heart,Yale,85,82,Neutral,3,Win,Neutral
11/10/2012,Providence,NJIT,64,63,Providence,1,Win,Home
11/10/2012,Fairfield,Central Conn,64,63,Neutral,1,Win,Neutral
11/10/2012,NJIT,Providence,63,64,Providence,-1,Loss,Away
11/10/2012,Central Conn,Fairfield,63,64,Neutral,-1,Loss,Neutral
11/10/2012,W Kentucky,Southern Miss,64,67,Southern Miss,-3,Loss,Away
11/10/2012,Yale,Sacred Heart,82,85,Neutral,-3,Loss,Neutral
11/10/2012,Buffalo,Princeton,53,57,Buffalo,-4,Loss,Home
11/10/2012,Holy Cross,UT San Antonio,56,60,Neutral,-4,Loss,Neutral
11/10/2012,Hartford,Quinnipiac,61,65,Hartford,-4,Loss,Home
11/10/2012,Chicago St,WI Green Bay,67,72,WI Green Bay,-5,Loss,Away
11/10/2012,Delaware,La Salle,66,73,La Salle,-7,Loss,Away
11/10/2012,G Washington,Youngstown St,73,80,G Washington,-7,Loss,Home
11/10/2012,W Michigan,Cornell,55,63,Cornell,-8,Loss,Away
11/10/2012,VMI,Citadel,76,84,Citadel,-8,Loss,Away
11/10/2012,Idaho St,Utah St,48,56,Utah St,-8,Loss,Away
11/10/2012,Evansville,Notre Dame,49,58,Notre Dame,-9,Loss,Away
11/10/2012,Northern Arizona,Oregon,73,83,Oregon,-10,Loss,Away
11/10/2012,Army,Air Force,65,76,Neutral,-11,Loss,Neutral
11/10/2012,Morgan St,Old Dominion,61,72,Old Dominion,-11,Loss,Away
11/10/2012,Arkansas St,Dayton,61,74,Dayton,-13,Loss,Away
11/10/2012,Maine,Dartmouth,54,67,Dartmouth,-13,Loss,Away
11/10/2012,Edwardsville,Missouri,69,83,Missouri,-14,Loss,Away
11/10/2012,NC Central,Wichita St,57,71,Wichita St,-14,Loss,Away
11/10/2012,Nevada,UC Irvine,64,78,UC Irvine,-14,Loss,Away
11/10/2012,Nicholls St,Vanderbilt,65,80,Vanderbilt,-15,Loss,Away
11/10/2012,Elon,Butler,59,74,Butler,-15,Loss,Away
11/10/2012,Cent Arkansas,Arizona St,64,79,Arizona St,-15,Loss,Away
11/10/2012,South Florida,UCF,56,74,South Florida,-18,Loss,Home
11/10/2012,ETSU,Virginia Tech,62,80,Virginia Tech,-18,Loss,Away
11/10/2012,E Washington,Washington St,69,88,Washington St,-19,Loss,Away
11/10/2012,Furman,Columbia,47,68,Furman,-21,Loss,Home
11/10/2012,Portland,Ohio,52,81,Ohio,-29,Loss,Away
11/11/2012,Florida,Alabama St,84,35,Florida,49,Win,Home
11/11/2012,Wisconsin,SE Louisiana,87,47,Wisconsin,40,Win,Home
11/11/2012,Oklahoma,ULM,85,51,Oklahoma,34,Win,Home
11/11/2012,Baylor,Jackson St,78,47,Baylor,31,Win,Home
11/11/2012,Purdue,Hofstra,83,54,Purdue,29,Win,Home
11/11/2012,Louisville,Manhattan,79,51,Louisville,28,Win,Home
11/11/2012,Ball St,Grambling,78,51,Ball St,27,Win,Home
11/11/2012,Hawaii,Ark Pine Bluff,81,54,Hawaii,27,Win,Home
11/11/2012,North Carolina,FL Atlantic,80,56,North Carolina,24,Win,Home
11/11/2012,Cincinnati,TN Martin,80,57,Cincinnati,23,Win,Home
11/11/2012,Ohio St,Albany NY,82,60,Ohio St,22,Win,Home
11/11/2012,Washington,Loyola MD,85,63,Washington,22,Win,Home
11/11/2012,Marquette,Colgate,84,63,Marquette,21,Win,Home
11/11/2012,Boise St,TX Southern,81,63,Boise St,18,Win,Home
11/11/2012,SMU,Loy Marymount,73,58,SMU,15,Win,Home
11/11/2012,Houston Bap,MD E Shore,70,55,Neutral,15,Win,Neutral
11/11/2012,Seattle,Montana St,87,72,Seattle,15,Win,Home
11/11/2012,Boston College,Florida Intl,84,70,Boston College,14,Win,Home
11/11/2012,California,CS Bakersfield,78,65,California,13,Win,Home
11/11/2012,Syracuse,San Diego St,62,49,Neutral,13,Win,Neutral
11/11/2012,Villanova,Marshall,80,68,Villanova,12,Win,Home
11/11/2012,Nebraska,Southern Univ,66,55,Nebraska,11,Win,Home
11/11/2012,ULL,Oakland,90,79,ULL,11,Win,Home
11/11/2012,Brown,Binghamton,58,49,Binghamton,9,Win,Away
11/11/2012,UT San Antonio,Old Dominion,79,70,Old Dominion,9,Win,Away
11/11/2012,Arizona,Charleston So,82,73,Arizona,9,Win,Home
11/11/2012,Oregon St,New Mexico St,71,62,Oregon St,9,Win,Home
11/11/2012,UNC Wilmington,UNC Asheville,67,59,UNC Wilmington,8,Win,Home
11/11/2012,South Carolina,WI Milwaukee,82,75,South Carolina,7,Win,Home
11/11/2012,Jacksonville St,E Michigan,61,54,Jacksonville St,7,Win,Home
11/11/2012,IL Chicago,UC Riverside,59,52,IL Chicago,7,Win,Home
11/11/2012,Air Force,Citadel,77,70,Citadel,7,Win,Away
11/11/2012,Georgetown,Duquesne,61,55,Georgetown,6,Win,Home
11/11/2012,Army,VMI,80,74,Neutral,6,Win,Neutral
11/11/2012,Siena,Navy,54,49,Navy,5,Win,Away
11/11/2012,Holy Cross,Morgan St,74,73,Neutral,1,Win,Neutral
11/11/2012,Morgan St,Holy Cross,73,74,Neutral,-1,Loss,Neutral
11/11/2012,Navy,Siena,49,54,Navy,-5,Loss,Home
11/11/2012,Duquesne,Georgetown,55,61,Georgetown,-6,Loss,Away
11/11/2012,VMI,Army,74,80,Neutral,-6,Loss,Neutral
11/11/2012,WI Milwaukee,South Carolina,75,82,South Carolina,-7,Loss,Away
11/11/2012,E Michigan,Jacksonville St,54,61,Jacksonville St,-7,Loss,Away
11/11/2012,UC Riverside,IL Chicago,52,59,IL Chicago,-7,Loss,Away
11/11/2012,Citadel,Air Force,70,77,Citadel,-7,Loss,Home
11/11/2012,UNC Asheville,UNC Wilmington,59,67,UNC Wilmington,-8,Loss,Away
11/11/2012,Binghamton,Brown,49,58,Binghamton,-9,Loss,Home
11/11/2012,Old Dominion,UT San Antonio,70,79,Old Dominion,-9,Loss,Home
11/11/2012,Charleston So,Arizona,73,82,Arizona,-9,Loss,Away
11/11/2012,New Mexico St,Oregon St,62,71,Oregon St,-9,Loss,Away
11/11/2012,Southern Univ,Nebraska,55,66,Nebraska,-11,Loss,Away
11/11/2012,Oakland,ULL,79,90,ULL,-11,Loss,Away
11/11/2012,Marshall,Villanova,68,80,Villanova,-12,Loss,Away
11/11/2012,CS Bakersfield,California,65,78,California,-13,Loss,Away
11/11/2012,San Diego St,Syracuse,49,62,Neutral,-13,Loss,Neutral
11/11/2012,Florida Intl,Boston College,70,84,Boston College,-14,Loss,Away
11/11/2012,Loy Marymount,SMU,58,73,SMU,-15,Loss,Away
11/11/2012,MD E Shore,Houston Bap,55,70,Neutral,-15,Loss,Neutral
11/11/2012,Montana St,Seattle,72,87,Seattle,-15,Loss,Away
11/11/2012,TX Southern,Boise St,63,81,Boise St,-18,Loss,Away
11/11/2012,Colgate,Marquette,63,84,Marquette,-21,Loss,Away
11/11/2012,Albany NY,Ohio St,60,82,Ohio St,-22,Loss,Away
11/11/2012,Loyola MD,Washington,63,85,Washington,-22,Loss,Away
11/11/2012,TN Martin,Cincinnati,57,80,Cincinnati,-23,Loss,Away
11/11/2012,FL Atlantic,North Carolina,56,80,North Carolina,-24,Loss,Away
11/11/2012,Grambling,Ball St,51,78,Ball St,-27,Loss,Away
11/11/2012,Ark Pine Bluff,Hawaii,54,81,Hawaii,-27,Loss,Away
11/11/2012,Manhattan,Louisville,51,79,Louisville,-28,Loss,Away
11/11/2012,Hofstra,Purdue,54,83,Purdue,-29,Loss,Away
11/11/2012,Jackson St,Baylor,47,78,Baylor,-31,Loss,Away
11/11/2012,ULM,Oklahoma,51,85,Oklahoma,-34,Loss,Away
11/11/2012,SE Louisiana,Wisconsin,47,87,Wisconsin,-40,Loss,Away
11/11/2012,Alabama St,Florida,35,84,Florida,-49,Loss,Away
11/12/2012,Iowa St,Alabama A&M,98,40,Iowa St,58,Win,Home
11/12/2012,UNLV,Northern Arizona,92,54,UNLV,38,Win,Home
11/12/2012,Michigan,IUPUI,91,54,Michigan,37,Win,Home
11/12/2012,Pittsburgh,Fordham,86,51,Pittsburgh,35,Win,Home
11/12/2012,Gonzaga,West Virginia,84,50,Gonzaga,34,Win,Home
11/12/2012,Clemson,Presbyterian,77,44,Clemson,33,Win,Home
11/12/2012,Providence,Bryant,81,49,Providence,32,Win,Home
11/12/2012,Lehigh,Robert Morris,89,60,Neutral,29,Win,Neutral
11/12/2012,Illinois St,Santa Barbara,100,72,Illinois St,28,Win,Home
11/12/2012,Florida St,Buffalo,95,68,Florida St,27,Win,Home
11/12/2012,Notre Dame,Monmouth NJ,84,57,Notre Dame,27,Win,Home
11/12/2012,Minnesota,Toledo,82,56,Minnesota,26,Win,Home
11/12/2012,Indiana,N Dakota St,87,61,Indiana,26,Win,Home
11/12/2012,St Joseph's PA,Yale,61,35,St Joseph's PA,26,Win,Home
11/12/2012,Rutgers,Sacred Heart,88,62,Rutgers,26,Win,Home
11/12/2012,Illinois,St Francis NY,89,64,Illinois,25,Win,Home
11/12/2012,Kansas St,Lamar,79,55,Kansas St,24,Win,Home
11/12/2012,Texas,Coppin St,69,46,Texas,23,Win,Home
11/12/2012,Maryland,Morehead St,67,45,Maryland,22,Win,Home
11/12/2012,Virginia Tech,Rhode Island,69,50,Virginia Tech,19,Win,Home
11/12/2012,Texas A&M,Troy,83,65,Texas A&M,18,Win,Home
11/12/2012,Bradley,TX Pan American,78,61,Bradley,17,Win,Home
11/12/2012,S Illinois,New Orleans,72,55,New Orleans,17,Win,Away
11/12/2012,CS Northridge,E Washington,96,79,CS Northridge,17,Win,Home
11/12/2012,Memphis,North Florida,81,66,Memphis,15,Win,Home
11/12/2012,Delaware,Penn,84,69,Neutral,15,Win,Neutral
11/12/2012,Seton Hall,Norfolk St,78,65,Seton Hall,13,Win,Home
11/12/2012,Stanford,CS Fullerton,81,68,Stanford,13,Win,Home
11/12/2012,Hawaii,Houston Bap,73,60,Hawaii,13,Win,Home
11/12/2012,Iowa,C Michigan,73,61,Iowa,12,Win,Home
11/12/2012,Youngstown St,Georgia,68,56,Georgia,12,Win,Away
11/12/2012,William & Mary,Liberty,71,59,Liberty,12,Win,Away
11/12/2012,Oregon,Portland St,80,69,Oregon,11,Win,Home
11/12/2012,Ark Pine Bluff,MD E Shore,62,52,Neutral,10,Win,Neutral
11/12/2012,Virginia,Fairfield,54,45,Virginia,9,Win,Home
11/12/2012,Utah Valley,NC A&T,64,55,NC A&T,9,Win,Away
11/12/2012,Canisius,Boston Univ,83,75,Canisius,8,Win,Home
11/12/2012,Cleveland St,Bowling Green,79,73,Neutral,6,Win,Neutral
11/12/2012,American Univ,Quinnipiac,61,55,Quinnipiac,6,Win,Away
11/12/2012,New Mexico,Davidson,86,81,New Mexico,5,Win,Home
11/12/2012,Lafayette,Long Island,98,94,Lafayette,4,Win,Home
11/12/2012,Northwestern LA,Campbell,71,67,Campbell,4,Win,Away
11/12/2012,St Peter's,Central Conn,64,61,St Peter's,3,Win,Home
11/12/2012,Kennesaw,S Carolina St,67,65,S Carolina St,2,Win,Away
11/12/2012,S Carolina St,Kennesaw,65,67,S Carolina St,-2,Loss,Home
11/12/2012,Central Conn,St Peter's,61,64,St Peter's,-3,Loss,Away
11/12/2012,Long Island,Lafayette,94,98,Lafayette,-4,Loss,Away
11/12/2012,Campbell,Northwestern LA,67,71,Campbell,-4,Loss,Home
11/12/2012,Davidson,New Mexico,81,86,New Mexico,-5,Loss,Away
11/12/2012,Bowling Green,Cleveland St,73,79,Neutral,-6,Loss,Neutral
11/12/2012,Quinnipiac,American Univ,55,61,Quinnipiac,-6,Loss,Home
11/12/2012,Boston Univ,Canisius,75,83,Canisius,-8,Loss,Away
